22:39:08.921 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 46152
22:39:08.922 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
22:39:08.922 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
22:39:08.922 |I| Core                           | RequestBuilder thread:8        | 
22:39:08.922 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
22:39:08.924 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
22:39:08.925 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 58253
22:39:08.946 |I| Core                           | RequestBuilder thread:8        | Create protocol...
22:39:08.995 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
22:39:09.027 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
22:39:09.027 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
22:39:09.030 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
22:39:09.033 |I| ProcessWatchdog                | WatchParentPid:29728:12        | Monitoring parent process PID:29728
22:39:09.095 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
22:39:09.102 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
22:39:09.181 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 7 project(s) in 6 node(s)...
22:39:09.182 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
22:39:09.187 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
22:39:09.192 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
22:39:09.352 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2019.4.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
22:39:09.355 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2019.4.csproj
22:39:09.358 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2019.4.csproj' with 1 target frameworks
22:39:09.360 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
22:39:09.364 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'CodeStage.Maintainer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
22:39:09.364 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: CodeStage.Maintainer.Editor.csproj
22:39:09.364 |I| Build                          | RequestBuilder thread:8        | Start build 'CodeStage.Maintainer.Editor.csproj' with 1 target frameworks
